rank,ticker,asset_type,price,market_cap,long_term_score,short_term_score,buy_now_score,valuation_score,quality_score,growth_score,revision_score,technical_score,relative_strength_score,rsi14,macd_hist,adx14,dist_20dma,dist_50dma,dist_200dma,rs_1m,rs_3m,rs_6m,rs_12m,forward_revenue_growth,forward_eps_growth,eps_revision_signal,forward_pe,ev_sales,ev_ebitda,fcf_yield,fcf_margin,roic_proxy,gross_margin,operating_margin,debt_to_equity,macd_hist_pct,volume_ratio_20d,as_of,scoring_version,universe_size,image_mentions,company_name,sector,scoring_fingerprint,data_retrieved_at,long_term_rating,entry_score,entry_quality,short_put_eligible
11,SPCX,Stock,148.14999389648438,1951755665408,54.7,67.9,53.2,18.5,43.6,91.8,94.5,77.8,59.5,59.018022977963966,0.6001123728361266,24.37119467233455,0.0331168852657401,0.0990551324694191,,0.1130286326425605,0.0104715311825678,,,1.3822,26.9495,1.0,95.59051,166.875,652.105,,,-0.0449359923364974,0.51875,-0.01804,31.211,0.0040507080496772,0.8605022131089133,2026-09-14,2.2-universe-normalization,27,0,Space Exploration Technologies Corp.,Industrials,95acfecf52651414b4fb,2026-09-14T19:56:08.092300-04:00,HOLD,67.9,GOOD,False
12,HUBB,Stock,442.3800048828125,23376144384,49.7,42.4,52.0,79.3,57.6,16.5,26.2,41.6,42.0,37.4697657437244,-0.6588052898331433,17.26214384414522,-0.0449972910454185,-0.0759273839291673,-0.0854339519922642,-0.060448356299274,0.0205092254538175,-0.3794907497881032,-0.6070282116047084,0.1008,0.1197,0.5,19.3068,4.587,18.835,0.0212101920597035,0.07966651163357,0.154830940906934,0.35338002,0.21666999,141.642,-0.0014892293561225,0.96841081486822,2026-09-14,2.2-universe-normalization,27,2,Hubbell Incorporated,Industrials,95acfecf52651414b4fb,2026-09-14T19:56:08.092300-04:00,HOLD,42.4,WAIT,False
13,DRAM,ETF,54.79999923706055,26017624064,48.6,51.7,50.7,,,,,52.1,48.3,45.775597632590895,0.0710790091455053,10.878564669260124,-0.0423347631112173,-0.0216067944657651,,0.0270616166652188,-0.0670534452315404,,,,,,,,,,,,,,,0.0012970622287424,1.2303600390154872,2026-09-14,2.2-universe-normalization,27,0,Roundhill Memory ETF,Thematic ETF,95acfecf52651414b4fb,2026-09-14T19:56:08.092300-04:00,HOLD,51.7,WAIT,False
14,CRWD,Stock,235.3800048828125,241013784576,45.3,70.3,49.7,24.7,55.1,37.2,59.6,70.2,87.2,62.26281108053709,0.8038785832587094,17.195777335773283,0.129272934936834,0.157166859859825,0.6270438839194978,0.108150930175194,0.468909777642337,0.7994091848606663,0.5724676244833438,0.2258,0.2785,0.9736721611721612,146.5711,43.894,2216.505,0.0082791342225937,0.36977979942968,-0.1753753811214883,0.75185996,-0.02259,15.958,0.0034152373463452,2.230112666342434,2026-09-14,2.2-universe-normalization,27,2,"CrowdStrike Holdings, Inc.",Technology,95acfecf52651414b4fb,2026-09-14T19:56:08.092300-04:00,HOLD,70.3,GOOD,False
15,AXTI,Stock,57.060001373291016,3741607680,52.7,49.4,47.9,27.6,33.5,82.2,90.0,33.5,46.6,42.96967710973007,-0.4416154046285094,14.35918491556888,-0.1455909207017468,-0.0899521256707059,0.0188294427816779,-0.1987905731180503,-0.3228427809855612,-0.1639609319783985,15.23182139569314,1.1128,1.5645,1.0,25.633423,27.213,253.976,-0.0118711002859604,-0.3538949398051135,-0.073049061647768,0.32184,0.21902001,10.667,-0.0077394916579028,1.107781358254446,2026-09-14,2.2-universe-normalization,27,0,"AXT, Inc.",Technology,95acfecf52651414b4fb,2026-09-14T19:56:08.092300-04:00,HOLD,49.4,WAIT,False
16,IREN,Stock,43.16999816894531,17011511296,45.4,55.2,47.0,36.8,24.6,85.4,64.1,73.5,41.6,52.68830598684051,0.4543329248951993,14.843935879241984,0.0345013028991607,0.0722082265729107,-0.0539176428059763,0.0289532108044541,-0.187731984178991,-0.2935479399130467,-0.2858816391780956,1.5553999,0.8914,0.6761904761904761,-162.90565,26.811,494.314,-0.2480260105398221,-5.967829771456173,-0.0489370746249191,0.68924004,-1.0247,187.297,0.010524274824316,0.8311818865609757,2026-09-14,2.2-universe-normalization,27,1,IREN Limited,Financial Services,95acfecf52651414b4fb,2026-09-14T19:56:08.092300-04:00,HOLD,55.2,FAIR,False
17,GEV,Stock,874.760009765625,232977973248,44.6,41.3,46.2,62.1,57.7,10.5,8.8,41.6,52.2,37.67511278218076,-0.6080579415122962,13.698714728329506,-0.0773843845228372,-0.1231026439155833,-0.0223599652498912,-0.1019588144032486,0.0204173753746433,-0.2439433352461623,-0.2174835327111357,0.1396,-0.1933,0.0952380952380952,34.56152,5.442,57.33,0.0674833122325437,0.3800644396949709,0.1091123330714846,0.2057,0.07466,28.364,-0.0006951140138141,1.5814857174518795,2026-09-14,2.2-universe-normalization,27,3,GE Vernova Inc.,Industrials,95acfecf52651414b4fb,2026-09-14T19:56:08.092300-04:00,AVOID,41.3,WAIT,False
18,VST,Stock,140.72999572753906,47233941504,39.9,43.0,46.0,74.6,46.4,7.1,10.9,60.1,38.4,44.29318918326147,0.934075576006374,15.41713003982266,-0.0115575046916123,-0.053264259664573,-0.1026970293353569,0.025746506445133,0.0420806496358557,-0.4439652539131069,-0.9067351355014874,0.0498,0.0793,0.2831168831168831,13.576625,3.633,10.502,0.0007859814112031,0.0019323860859916,0.0619616656300741,0.38309,0.13766,373.28,0.0066373595137087,1.2127879149264162,2026-09-14,2.2-universe-normalization,27,2,Vistra Corp.,Utilities,95acfecf52651414b4fb,2026-09-14T19:56:08.092300-04:00,AVOID,43.0,WAIT,False
19,SOXL,ETF,101.12999725341795,19311783936,33.4,51.8,44.8,,,,,48.2,46.7,39.52114596177672,1.1150567269560945,16.164921003922224,-0.1425737427982493,-0.2487084921846835,-0.0882223781409063,-0.2398030494373748,-0.4790734228931019,0.6621005220837449,1.8678883284550496,,,,,,,,,,,,,0.0110259740654586,1.7451999873177786,2026-09-14,2.2-universe-normalization,27,0,Direxion Daily Semiconductor Bull 3X Shares,Thematic ETF,95acfecf52651414b4fb,2026-09-14T19:56:08.092300-04:00,AVOID,51.8,WAIT,False
20,AAOI,Stock,95.76000213623048,8130626560,48.6,32.8,44.0,49.9,23.8,94.9,43.6,20.1,32.7,39.41925820035541,-1.0322713805228592,13.189775754881053,-0.1527425585111782,-0.1617045171151852,-0.0757497043406481,-0.199361628567135,-0.3435410149429555,-0.3426333283684029,1.966443580196331,1.5647999,5.7676,0.084090909090909,20.808344,14.616,-271.308,-0.1090998467896673,-1.4884140742229055,-0.0577443154291156,0.28916,-0.12884,17.994,-0.0107797760807724,1.0509356042597453,2026-09-14,2.2-universe-normalization,27,1,"Applied Optoelectronics, Inc.",Technology,95acfecf52651414b4fb,2026-09-14T19:56:08.092300-04:00,HOLD,32.8,WAIT,False
21,NBIS,Stock,212.19000244140625,53874659328,40.2,52.6,43.1,34.9,29.7,54.8,53.6,43.7,63.3,47.23196530831038,0.0285407308131027,10.616606302253478,-0.0465384735583184,0.0027352152643973,0.3403730568221401,-0.1035368255039152,0.003194405601326,0.5468315418796053,0.7790414386430116,2.6086,-1.243,0.873015873015873,-67.55255,44.51,233.78,-0.1784633162961464,-7.095159132872045,-0.0601264622993222,0.7426,-0.00223,98.596,0.0001345055397743,0.7906833870562311,2026-09-14,2.2-universe-normalization,27,1,Nebius Group N.V.,Communication Services,95acfecf52651414b4fb,2026-09-14T19:56:08.092300-04:00,AVOID,52.6,WAIT,False
22,CEG,Stock,264.57000732421875,93739106304,38.4,43.7,43.1,58.9,34.5,11.0,37.0,45.5,41.9,40.52479045270901,-1.4918787185372242,17.403008411379655,-0.0572078590817397,-0.0193261589538836,-0.100051503405856,0.0154403142460787,0.1342014574811354,-0.4523480835363634,-0.7634049053049417,0.0361,0.101,0.8697916666666666,19.830381,3.776,14.85,-0.0706762110843518,-0.2118683955357923,0.0608518487396802,0.22107,0.086619996,76.419,-0.005638880739452,1.4329217345342766,2026-09-14,2.2-universe-normalization,27,2,Constellation Energy Corporation,Utilities,95acfecf52651414b4fb,2026-09-14T19:56:08.092300-04:00,AVOID,43.7,WAIT,False
23,APLD,Stock,24.57999992370605,6988187648,42.1,37.5,42.4,53.5,15.2,76.7,45.9,41.8,26.0,40.59429429839073,0.0418452571039718,18.632876876589474,-0.08673763651934,-0.1302286292797637,-0.2390304942577276,-0.1327807157145351,-0.3343566286518525,-0.4230997500591554,-0.1693035145347854,1.274,0.7378,0.3333333333333333,-98.32,20.772,-118.646,-0.7099750278485939,-8.116063533595051,-0.0243103739538597,0.25879,-0.48219,136.231,0.0017024107906369,0.99926785710173,2026-09-14,2.2-universe-normalization,27,1,Applied Digital Corporation,Technology,95acfecf52651414b4fb,2026-09-14T19:56:08.092300-04:00,AVOID,37.5,WAIT,False
24,KTOS,Stock,47.58000183105469,8922201088,44.8,27.5,38.8,39.5,39.5,41.5,54.3,25.7,12.5,37.90013568993468,-0.6740899236408886,22.223735942563323,-0.0882699193867659,-0.0851864415566594,-0.3301879028037958,-0.1777600029826379,-0.0861045090801932,-0.7882023033427148,-0.8969187765368449,0.2352,0.3669,0.8878968253968254,42.58137,5.049,88.365,-0.0132576594982926,-0.0776929435048763,0.011284156430183,0.23002,-0.00174,5.65,-0.0141675052059565,0.997733043425117,2026-09-14,2.2-universe-normalization,27,2,"Kratos Defense & Security Solutions, Inc.",Industrials,95acfecf52651414b4fb,2026-09-14T19:56:08.092300-04:00,AVOID,27.5,WAIT,False
25,AVAV,Stock,153.39999389648438,7795895808,39.0,32.3,38.7,50.3,35.2,36.3,18.2,55.6,17.3,49.07378597173312,0.0278779712894534,13.868990724177234,0.0035096207825575,-0.0265744289505093,-0.266826984282193,-0.1257261826645601,-0.010715897058034,-0.5909751583730221,-0.9656545481374718,0.1526,0.3701,-0.7,34.378895,4.013,36.733,-0.0033249387419211,-0.0129432303376765,-0.0139894461611692,0.26471,-0.02269,19.354,0.0001817338487527,1.434197509993537,2026-09-14,2.2-universe-normalization,27,2,"AeroVironment, Inc.",Industrials,95acfecf52651414b4fb,2026-09-14T19:56:08.092300-04:00,AVOID,32.3,WAIT,False
26,MP,Stock,50.68000030517578,9026188288,43.2,34.4,37.7,24.0,24.3,82.3,62.3,32.0,24.8,42.14911392691722,-0.9225763800888624,18.109742445469653,-0.0890544407656471,-0.0097539547539331,-0.1185458379768296,-0.024995781300792,-0.0293750846995571,-0.4459282533449321,-0.7959753172198587,0.8018,239.51599,0.5666666666666667,56.812958,21.547,220.493,-0.0479658578112745,-1.0401273462278615,-0.0609800939961663,0.42326,-0.1472,41.402,-0.018203953720076,0.7863042143619308,2026-09-14,2.2-universe-normalization,27,2,MP Materials Corp.,Basic Materials,95acfecf52651414b4fb,2026-09-14T19:56:08.092300-04:00,AVOID,34.4,WAIT,False
27,RKLB,Stock,62.54999923706055,39995158528,38.8,31.8,34.9,26.8,26.4,55.7,40.2,35.9,25.9,37.155053161795294,-0.0503456811751665,21.653753883159798,-0.0732784291640048,-0.1257715126686456,-0.2182464271594231,-0.154625114495164,-0.2991011465880969,-0.4174474397228758,-0.3084820981224714,0.42180002,0.6811,0.4285714285714286,1372.9149,45.841,-234.242,-0.0062998533140856,-0.3275888287027707,-0.2062711808023433,0.37264,-0.24572,3.828,-0.0008048869990287,0.8729352922144037,2026-09-14,2.2-universe-normalization,27,1,Rocket Lab Corporation,Industrials,95acfecf52651414b4fb,2026-09-14T19:56:08.092300-04:00,AVOID,31.8,WAIT,False
